Title,Description,Priority,Status,Assignee,Labels,Estimate,Created,Started,Completed,Archived
AI Patient Insight: definire gerarchia fonti cliniche,"Definire ordine sorgenti e pesi (scheda paziente completa > codifiche > terapie > osservazioni > documenti), con fallback esplicito e regole anti-hallucination.",High,Backlog,,"ai-insight, api-v1, feature, project/mf-core-q2, source/linear-seed",,,,,
AI Patient Insight: estendere context builder alla scheda completa,"Usare non solo documenti ma tutti i dati strutturati paziente (esenzioni, ICD/ICD-11, terapie, checkup, osservazioni, timeline).",High,Backlog,,"ai-insight, feature, native, project/mf-core-q2, source/linear-seed",,,,,
AI Patient Insight: spiegabilita output (fonti usate),Mostrare nell'output le fonti realmente usate e i limiti della sintesi; vietare claim non supportati.,High,Backlog,,"ai-insight, feature, security, project/mf-core-q2, source/linear-seed",,,,,
Formalizzare controlli never-regress,"T00: no default creds, no egress di default, no regressioni zero-knowledge.",High,Backlog,,"security, guardrail, project/mf-core-q2, source/linear-seed",,,,,
Backup artifact v1 con manifest integrita,"Definire formato backup con metadata, checksum e verifiche di integrita.",High,Backlog,,"backup, integrity, project/mf-core-q2, source/linear-seed",,,,,
Preflight restore (schema/version/ownership),Bloccare restore incompatibili prima della fase scripting completa.,High,Backlog,,"backup, restore, project/mf-core-q2, source/linear-seed",,,,,
Policy lockout tentativi falliti,Uniformare regole session/token web+native su tentativi falliti e lockout.,High,Backlog,,"auth, security, project/mf-core-q2, source/linear-seed",,,,,
Strategia OpenAPI per /api/v1,Decisione spec-first vs source annotations per superficie v1.,High,Backlog,,"api-v1, contract, adr, project/mf-core-q2, source/linear-seed",,,,,
Pubblicare baseline OpenAPI v1,Spec iniziale per endpoint v1 stabili.,High,Backlog,,"api-v1, contract, project/mf-core-q2, source/linear-seed",,,,,
Contract checks anti-drift API,Controlli automatici per breaking/untracked drift del contratto v1.,High,Backlog,,"api-v1, ci, project/mf-core-q2, source/linear-seed",,,,,
Optimistic concurrency con version,Versioning su entita cliniche prioritarie.,High,Backlog,,"data-integrity, api-v1, project/mf-core-q2, source/linear-seed",,,,,
Compare-on-write + 409 conflict metadata,Standardizzare conflitti write con snapshot metadata.,High,Backlog,,"data-integrity, api-v1, project/mf-core-q2, source/linear-seed",,,,,
Test scritture concorrenti web/native,Copertura conflitti write concorrenti su entrambi i client.,High,Backlog,,"testing, data-integrity, project/mf-core-q2, source/linear-seed",,,,,
Tassonomia eventi audit minima,Auth + CRUD sensibili + settings admin.,High,Backlog,,"audit, compliance, project/mf-core-q2, source/linear-seed",,,,,
Append-only audit trail PHI-safe,Write path immutabile con campi PHI-safe e redazione.,High,Backlog,,"audit, security, project/mf-core-q2, source/linear-seed",,,,,
Attribuzione attore coerente web/native,Identita attore coerente su chiamate web/native.,High,Backlog,,"audit, auth, project/mf-core-q2, source/linear-seed",,,,,
P0b.c parity run strict in VM,Eseguire run web+native required con checklist compilata.,High,Backlog,,"parity, testing, native, web, project/mf-parity-q2, source/linear-seed",,,,,
P2 Esenzioni native selector/search/save,Chiudere gap mapping esenzioni create/update paziente.,High,Backlog,,"parity, native, exemptions, project/mf-parity-q2, source/linear-seed",,,,,
P3 Osservazioni native CRUD LOINC+UCUM,UI macOS su contratto gia disponibile.,High,Backlog,,"parity, native, observations, project/mf-parity-q2, source/linear-seed",,,,,
P4 Allineare delete diario (soft/restore/reason),Semantica identica web/native su delete/restore.,High,Backlog,,"parity, entries, project/mf-parity-q2, source/linear-seed",,,,,
P5 Operabilita cataloghi in Settings macOS,Import/clear/stato minimo senza storage duplicato.,Medium,Backlog,,"parity, native, catalogs, project/mf-parity-q2, source/linear-seed",,,,,
P6 Chiusura parity + update walkthrough,Smoke capability-by-capability e update docs canoniche.,High,Backlog,,"parity, docs, project/mf-parity-q2, source/linear-seed",,,,,
Terminology registry locale (systems/versioni),Catalog registry locale con versioni e data update per sistemi codifiche.,High,Backlog,,"terminology, fse, feature, project/mf-fse-q2, source/linear-seed",,,,,
Validazione documentale FSE profilo-driven,Regole error/warning per documento prima export.,High,Backlog,,"terminology, fse, feature, project/mf-fse-q2, source/linear-seed",,,,,
Cambio PIN utente,Roadmap v0.4: rotazione PIN end-to-end.,High,Backlog,,"security, ux, project/mf-core-q2, source/linear-seed",,,,,
Backup automatico notturno,Roadmap v0.4: set-and-forget locale.,Medium,Backlog,,"backup, ux, project/mf-core-q2, source/linear-seed",,,,,
Policy retention dati automatica,Roadmap v0.4: cleanup dati storici configurabile.,Medium,Backlog,,"compliance, data-lifecycle, project/mf-core-q2, source/linear-seed",,,,,
Notifiche disponibilita aggiornamenti,Roadmap v0.4: avviso nuova release disponibile.,Low,Backlog,,"ux, release, project/mf-core-q2, source/linear-seed",,,,,
