Title,Priority,Project,Labels,Description
AI Patient Insight: definire gerarchia fonti cliniche,P1,MF-CORE-Q2,"ai-insight,api-v1,feature","Definire ordine sorgenti e pesi (scheda paziente completa > codifiche > terapie > osservazioni > documenti), con fallback esplicito e regole anti-hallucination."
AI Patient Insight: estendere context builder alla scheda completa,P1,MF-CORE-Q2,"ai-insight,feature,native","Usare non solo documenti ma tutti i dati strutturati paziente (esenzioni, ICD/ICD-11, terapie, checkup, osservazioni, timeline)."
AI Patient Insight: spiegabilita output (fonti usate),P1,MF-CORE-Q2,"ai-insight,feature,security","Mostrare nell'output le fonti realmente usate e i limiti della sintesi; vietare claim non supportati."
Formalizzare controlli never-regress,P1,MF-CORE-Q2,"security,guardrail","T00: no default creds, no egress di default, no regressioni zero-knowledge."
Backup artifact v1 con manifest integrita,P1,MF-CORE-Q2,"backup,integrity","Definire formato backup con metadata, checksum e verifiche di integrita."
Preflight restore (schema/version/ownership),P1,MF-CORE-Q2,"backup,restore","Bloccare restore incompatibili prima della fase scripting completa."
Policy lockout tentativi falliti,P1,MF-CORE-Q2,"auth,security","Uniformare regole session/token web+native su tentativi falliti e lockout."
Strategia OpenAPI per /api/v1,P1,MF-CORE-Q2,"api-v1,contract,adr","Decisione spec-first vs source annotations per superficie v1."
Pubblicare baseline OpenAPI v1,P1,MF-CORE-Q2,"api-v1,contract","Spec iniziale per endpoint v1 stabili."
Contract checks anti-drift API,P1,MF-CORE-Q2,"api-v1,ci","Controlli automatici per breaking/untracked drift del contratto v1."
Optimistic concurrency con version,P1,MF-CORE-Q2,"data-integrity,api-v1","Versioning su entita cliniche prioritarie."
Compare-on-write + 409 conflict metadata,P1,MF-CORE-Q2,"data-integrity,api-v1","Standardizzare conflitti write con snapshot metadata."
Test scritture concorrenti web/native,P1,MF-CORE-Q2,"testing,data-integrity","Copertura conflitti write concorrenti su entrambi i client."
Tassonomia eventi audit minima,P1,MF-CORE-Q2,"audit,compliance","Auth + CRUD sensibili + settings admin."
Append-only audit trail PHI-safe,P1,MF-CORE-Q2,"audit,security","Write path immutabile con campi PHI-safe e redazione."
Attribuzione attore coerente web/native,P1,MF-CORE-Q2,"audit,auth","Identita attore coerente su chiamate web/native."
P0b.c parity run strict in VM,P1,MF-PARITY-Q2,"parity,testing,native,web","Eseguire run web+native required con checklist compilata."
P2 Esenzioni native selector/search/save,P1,MF-PARITY-Q2,"parity,native,exemptions","Chiudere gap mapping esenzioni create/update paziente."
P3 Osservazioni native CRUD LOINC+UCUM,P1,MF-PARITY-Q2,"parity,native,observations","UI macOS su contratto gia disponibile."
P4 Allineare delete diario (soft/restore/reason),P1,MF-PARITY-Q2,"parity,entries","Semantica identica web/native su delete/restore."
P5 Operabilita cataloghi in Settings macOS,P2,MF-PARITY-Q2,"parity,native,catalogs","Import/clear/stato minimo senza storage duplicato."
P6 Chiusura parity + update walkthrough,P1,MF-PARITY-Q2,"parity,docs","Smoke capability-by-capability e update docs canoniche."
Terminology registry locale (systems/versioni),P1,MF-FSE-Q2,"terminology,fse,feature","Catalog registry locale con versioni e data update per sistemi codifiche."
Validazione documentale FSE profilo-driven,P1,MF-FSE-Q2,"terminology,fse,feature","Regole error/warning per documento prima export."
Cambio PIN utente,P1,MF-CORE-Q2,"security,ux","Roadmap v0.4: rotazione PIN end-to-end."
Backup automatico notturno,P2,MF-CORE-Q2,"backup,ux","Roadmap v0.4: set-and-forget locale."
Policy retention dati automatica,P2,MF-CORE-Q2,"compliance,data-lifecycle","Roadmap v0.4: cleanup dati storici configurabile."
Notifiche disponibilita aggiornamenti,P3,MF-CORE-Q2,"ux,release","Roadmap v0.4: avviso nuova release disponibile."
